Date,Action,Company,Ticker,Date of PDF,Issues,Reference
16-Mar-20,Addition,United Malt Group (UMG),UMG,16/3/20,,
13-Dec-19,Addition,AP Eagers (APE),APE,13/12/19,,
13-Dec-19,Addition,Ingenia Communities Group (INA),INA,13/12/19,,
13-Dec-19,Removal,Galaxy Resources (GXY),GXY,13/12/19,,
13-Dec-19,Removal,Speedcast International (SDA),SDA,13/12/19,,
5-Dec-19,Addition,EML Paymentsl (EML),EML,5/12/19,,
5-Dec-19,Removal,Bellamy's Australia (BAL),BAL,5/12/19,,
7-Nov-19,Addition,Avita Medical (AVH),AVH,7/11/19,,
7-Nov-19,Removal,Aveo Group (AOG),AOG,7/11/19,,
23-Sep-19,Addition,Silver Lake Resources (SLR),SLR,6/9/19,,
23-Sep-19,Addition,Polynovo (PNV),PNV,6/9/19,,
23-Sep-19,Addition,Netwealth Group (NWL),NWL,6/9/19,,
23-Sep-19,Addition,Jumbo Interactive (JIN),JIN,6/9/19,,
23-Sep-19,Addition,Gold Road Resources (GOR),GOR,6/9/19,,
23-Sep-19,Addition,Collins Foods (CKF),CKF,6/9/19,,
23-Sep-19,Removal,Ardent Leisure Group (ALG),ALG,6/9/19,,
23-Sep-19,Removal,Australian Pharmaceutical Industries (API),API,6/9/19,,
23-Sep-19,Removal,Eclipx Group (ECX),ECX,6/9/19,,
23-Sep-19,Removal,Emeco Holdings (EHL),EHL,6/9/19,,
23-Sep-19,Removal,Pact Group Holdings (PGH),PGH,6/9/19,,
23-Sep-19,Removal,Sigma Healthcare (SIG),SIG,6/9/19,,
31-Jul-19,Addition,Pro Medicus (PME),PME,31/7/19,,
31-Jul-19,Removal,DuluxGroup (DLX),DLX,31/7/19,,
24-Jun-19,Addition,Clinuvel Pharmaceuticals (CUV),CUV,14/6/19,,
24-Jun-19,Addition,Service Stream (SSM),SSM,14/6/19,,
24-Jun-19,Addition,Austal (ASB),ASB,14/6/19,,
24-Jun-19,Removal,Seven West Media (SWM),SWM,14/6/19,,
24-Jun-19,Removal,Syrah Resources (SYR),SYR,14/6/19,,
24-Jun-19,Removal,Navitas (NVT),NVT,14/6/19,,
15-Apr-19,Addition,Nearmap Ltd (NEA),NEA,15/4/19,,
15-Apr-19,Removal,MYOB Group (MYO),MYO,15/4/19,,
8-Mar-19,Addition,Pinnacle Investment Management Group (PNI),PNI,8/3/19,,
8-Mar-19,Addition,HUB24 (HUB),HUB,8/3/19,,
8-Mar-19,Removal,Infigen (IFN),IFN,8/3/19,,
8-Mar-19,Removal,Automotive Holdings Group (AHG),AHG,8/3/19,,
29-Nov-18,Addition,New Hope Corporation (NHC),NHC,29/11/18,,
29-Nov-18,Removal,Investa Office Fund (IOF),IOF,29/11/18,,
21-Nov-18,Removal,Fairfax Media (FXJ),FXJ,21/11/18,,
14-Nov-18,Addition,Coles Group (COL),COL,21/11/18,,
11-Oct-18,Addition,Bravura Solutions (BVS),BVS,11/10/18,,
11-Oct-18,Removal,APN Outdoor Group (APO),APO,11/10/18,,
4-Oct-18,Addition,Emeco Holdings (EHL),EHL,6/9/19,Check,1
4-Oct-18,Removal,Gateway Lifestyle Group (GTY),GTY,4/10/18,,
10-Sep-18,Addition,Viva Energy Group (VEA),VEA,10/9/18,,
10-Sep-18,Removal,Sirtex Medical (SRX),SRX,10/9/18,,
7-Sep-18,Addition,Bingo Industries (BIN),BIN,7/9/18,,
7-Sep-18,Addition,Elders (ELD),ELD,7/9/18,,
7-Sep-18,Removal,Genworth Mortgage Insurance Australia (GMA),GMA,7/9/18,,
7-Sep-18,Removal,Greencross (GXL),GXL,7/9/18,,
31-Aug-18,Addition,Elders (ELD),ELD,7/9/18,,
31-Aug-18,Removal,Investa Office Fund (IOF),IOF,29/11/18,Check,
8-Jun-18,Addition,Afterpay Touch Group (APT),APT,8/6/18,,
8-Jun-18,Addition,Appen (APX),APX,8/6/18,,
8-Jun-18,Addition,Inghams Group (ING),ING,8/6/18,,
8-Jun-18,Removal,Asaleo Care (AHY),AHY,8/6/18,,
8-Jun-18,Removal,Iron Mountain Incorporated (INM),INM,8/6/18,,
8-Jun-18,Removal,Retail Food Group (RFG),RFG,8/6/18,,
24-May-18,Addition,Unibail-Rodamco-Westfield CDIs (URW),URW,24/5/18,,
24-May-18,Addition,OneMarket Limited (OMN),OMN,24/5/18,,
24-May-18,Removal,Westfield Corporation (WFD),WFD,24/5/18,,
18-May-18,Addition,IDP Education (IEL),IEL,18/5/18,,
18-May-18,Removal,Mantra Group (MTR),MTR,18/5/18,,
3-May-18,Addition,IDP Education (IEL),IEL,18/5/18,,
